date,Stage,Disease,Symptoms
15-06-2025,Germination,Seed Rot / Seedling Blight,"Poor germination, rotting seeds, wilting seedlings"
16-06-2025,Germination,Seed Rot / Seedling Blight,"Poor germination, rotting seeds, wilting seedlings"
17-06-2025,Germination,Seed Rot / Seedling Blight,"Poor germination, rotting seeds, wilting seedlings"
18-06-2025,Germination,Seed Rot / Seedling Blight,"Poor germination, rotting seeds, wilting seedlings"
19-06-2025,Germination,Seed Rot / Seedling Blight,"Poor germination, rotting seeds, wilting seedlings"
20-06-2025,Germination,Seed Rot / Seedling Blight,"Poor germination, rotting seeds, wilting seedlings"
21-06-2025,Germination,Seed Rot / Seedling Blight,"Poor germination, rotting seeds, wilting seedlings"
22-06-2025,Germination,Seed Rot / Seedling Blight,"Poor germination, rotting seeds, wilting seedlings"
23-06-2025,Germination,Seed Rot / Seedling Blight,"Poor germination, rotting seeds, wilting seedlings"
24-06-2025,Germination,Seed Rot / Seedling Blight,"Poor germination, rotting seeds, wilting seedlings"
25-06-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
26-06-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
27-06-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
28-06-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
29-06-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
30-06-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
01-07-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
02-07-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
03-07-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
04-07-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
05-07-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
06-07-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
07-07-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
08-07-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
09-07-2025,Seedling,Downy Mildew,"Yellow streaks on leaves, white downy growth"
10-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
11-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
12-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
13-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
14-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
15-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
16-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
17-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
18-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
19-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
20-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
21-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
22-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
23-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
24-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
25-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
26-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
27-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
28-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
29-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
30-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
31-07-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
01-08-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
02-08-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
03-08-2025,Vegetative Growth,"Leaf Blight, Rust","Tan lesions on leaves, reddish-brown pustules"
04-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
05-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
06-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
07-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
08-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
09-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
10-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
11-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
12-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
13-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
14-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
15-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
16-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
17-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
18-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
19-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
20-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
21-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
22-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
23-08-2025,Tasseling & Pollination,Smut,Gray galls on ears and tassels filled with black spores
24-08-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
25-08-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
26-08-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
27-08-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
28-08-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
29-08-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
30-08-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
31-08-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
01-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
02-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
03-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
04-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
05-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
06-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
07-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
08-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
09-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
10-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
11-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
12-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
13-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
14-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
15-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
16-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
17-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
18-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
19-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
20-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
21-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
22-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
23-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
24-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
25-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
26-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
27-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
28-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
29-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
30-09-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
01-10-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
02-10-2025,Grain Filling,Ear Rot / Cob Rot,"Moldy, discolored kernels, fungal growth on cob"
03-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
04-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
05-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
06-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
07-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
08-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
09-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
10-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
11-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
12-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
13-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
14-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
15-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
16-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
17-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
18-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
19-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
20-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
21-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
22-10-2025,Maturity & Harvest,Stalk Rot,"Lower stem turns brown, plants lodge easily"
